id,date,time,trading_hour,vol,vol_bucket,spot,target,target_move_pct,direction,target_hit,days_to_target,min_hit,days_to_min,max_profit_pct,days_to_max
792,2025-08-11,13:47:16,AH,252,100-499,339.13,321.94,5.068852652375195,Bearish,1,7.0,1,4.0,7.233212601800008,7
793,2025-08-11,14:07:54,AH,70,50-100,339.13,323.46,4.620646949547376,Bearish,1,7.0,1,4.0,7.233212601800008,7
794,2025-08-11,13:52:07,AH,75,50-100,339.13,324.22,4.39654409813345,Bearish,1,7.0,1,4.0,7.233212601800008,7
795,2025-08-11,06:05:11,PM,1,<10,335.76,324.64,3.311889444841555,Bearish,1,7.0,1,7.0,6.3021187444854565,7
796,2025-08-11,06:05:12,PM,1,<10,335.76,324.82,3.2582797236121035,Bearish,1,7.0,1,7.0,6.3021187444854565,7
797,2025-08-11,13:55:04,AH,96,50-100,339.13,327.6,3.3998761536873685,Bearish,1,4.0,1,4.0,7.233212601800008,7
798,2025-08-11,12:49:00,RTH,20000,>=5000,340.36,328.2,3.5726877423904173,Bearish,1,4.0,1,4.0,7.568455134705719,7
799,2025-08-11,14:01:46,AH,50,50-100,339.13,351.46,3.6357738920178058,Bullish,1,11.0,1,10.0,49.823577978946126,95
808,2025-08-12,13:48:24,AH,48,20-49,340.84,318.46,6.566130735829128,Bearish,1,6.0,1,2.0,7.698625130995292,6
809,2025-08-12,13:53:00,AH,104,100-499,340.84,329.5,3.327074287055503,Bearish,1,3.0,1,2.0,7.698625130995292,6
810,2025-08-12,14:06:38,AH,72,50-100,340.84,329.8,3.2390564487736078,Bearish,1,3.0,1,2.0,7.698625130995292,6
811,2025-08-12,13:43:22,AH,100,50-100,340.84,354.43,3.9872080741697085,Bullish,1,11.0,1,10.0,49.071910573876316,94
812,2025-08-12,14:00:50,AH,40,20-49,340.84,356.19,4.5035793920901375,Bullish,1,18.0,1,10.0,49.071910573876316,94
813,2025-08-12,13:44:58,AH,140,100-499,340.84,356.52,4.600399014200214,Bullish,1,18.0,1,10.0,49.071910573876316,94
814,2025-08-12,13:43:47,AH,200,100-499,340.84,357.24,4.8116418260767615,Bullish,1,18.0,1,10.0,49.071910573876316,94
815,2025-08-12,14:03:30,AH,50,50-100,340.84,357.88,4.999413214411461,Bullish,1,18.0,1,10.0,49.071910573876316,94
816,2025-08-12,13:46:50,AH,30,20-49,340.84,358.84,5.281070296913508,Bullish,0,,1,10.0,49.071910573876316,94
817,2025-08-12,14:03:01,AH,660,500-999,340.71,359.95,5.647031199553876,Bullish,0,,1,10.0,49.12878987995657,94
837,2025-08-13,13:52:29,AH,13,10-19,339.23,315.61,6.962827580107893,Bearish,1,5.0,1,2.0,7.260558882317128,5
838,2025-08-13,06:49:51,RTH,2,<10,347.37,319.79,7.939660880329328,Bearish,1,5.0,1,1.0,9.433743241064105,5
839,2025-08-13,13:47:36,AH,120,100-499,339.23,320.09,5.642189664829185,Bearish,1,5.0,1,2.0,7.260558882317128,5
840,2025-08-13,11:20:20,RTH,12,10-19,340.42,322.05,5.39627518947183,Bearish,1,5.0,1,2.0,7.584746459222252,5
841,2025-08-13,13:53:24,AH,160,100-499,339.23,323.5,4.63697196592283,Bearish,1,5.0,1,2.0,7.260558882317128,5
842,2025-08-13,13:43:02,AH,56,50-100,339.23,323.72,4.572119211154671,Bearish,1,5.0,1,2.0,7.260558882317128,5
