date,period,mw_side,trade_side,net_vol,big_count,total_count,time,is_dp,side,hourly_close,daily_close,hit,max_win_pct,days_to_hit,es_start,es_target,late_hit,days_to_late,days_to_max_40d,mue_pre_hit,mue_pre_late,vol_bucket
2025-09-24,RTH,Buy,Sell,520000,0,1,12:52:22.442000,0,Sell,442.7699890136719,442.7699890136719,1.0,0.1357417051720549,2.0,442.9,420.75499999999994,0,,38,-0.002957758986403585,,500k-1M
2025-09-24,RTH,Buy,Sell,520001,0,1,12:52:22.400000,0,Sell,442.7699890136719,442.7699890136719,1.0,0.1357417051720549,2.0,442.9,420.75499999999994,0,,38,-0.002957758986403585,,500k-1M
2025-09-26,AH,Buy,,427744,0,1,13:28:41.749000,1,Sell,443.7950134277344,443.7950134277344,1.0,0.13083560676817235,5.0,440.4,418.37999999999994,0,,35,-0.06891462306993648,,100k-500k
2025-09-26,AH,Buy,,427744,0,1,13:28:41.700000,0,Sell,443.7950134277344,443.7950134277344,1.0,0.13083560676817235,5.0,440.4,418.37999999999994,0,,35,-0.06891462306993648,,100k-500k
2025-09-29,FirstHour,Buy,,430569,0,1,06:32:16.100000,0,Sell,443.7950134277344,443.7950134277344,1.0,0.1493777804904514,5.0,450.0,427.5,0,,35,-0.04611111111111111,,100k-500k
2025-09-30,RTH,Sell,Buy,584064,0,1,10:05:23.024000,0,Sell,443.3900146484375,443.3900146484375,1.0,0.12085438957442146,9.0,435.4,413.62999999999994,0,,34,-0.08118971061093254,,500k-1M
2025-10-01,RTH,Buy,Sell,748125,0,1,10:29:48.035000,1,Sell,459.3598937988281,459.3598937988281,1.0,0.16469176480240724,3.0,458.25,435.3375,0,,33,-0.027277686852154936,,500k-1M
2025-10-01,RTH,Buy,Sell,550000,0,1,10:35:10.875000,1,Sell,459.3598937988281,459.3598937988281,1.0,0.16629277376930962,2.0,459.13,436.1735,0,,33,-0.025308736087818275,,500k-1M
2025-10-02,PM,Sell,Sell,2425075,1,1,06:17:33.053000,1,Sell,454.75,454.75,1.0,0.16689157101968202,1.0,459.46,436.48699999999997,0,,32,-0.024572324032560006,,>1M
2025-10-03,AH,Buy,,458442,0,1,13:00:05.907000,1,Buy,443.0592956542969,443.0592956542969,1.0,0.10292442901663161,1.0,429.83,451.3215,0,,21,0.015959803739632565,,100k-500k
